0.010, -0.3311, 1, 1, -6.860e-3, 0.0000e+0, -1.9056e-8, 0.0000e+0, 6.3098e-9, 0.0000
0.020, -0.3661, 1, 1, -6.860e-3, 0.0000e+0, -3.8111e-8, 0.0000e+0, 1.3286e-8, -3.4966
0.030, -0.3778, 1, 1, -6.860e-3, 0.0000e+0, -5.7167e-8, 0.0000e+0, 2.0486e-8, 3.4966
0.040, -0.3899, 1, 1, -6.860e-3, 0.0000e+0, -7.6222e-8, 0.0000e+0, 2.7916e-8, 1.1751
0.050, -0.3996, 1, 1, -6.860e-3, 0.0000e+0, -9.5278e-8, 0.0000e+0, 3.5530e-8, 1.2051
0.060, -0.4081, 1, 1, -6.860e-3, 0.0000e+0, -1.1433e-7, 0.0000e+0, 4.3308e-8, 0.9721
0.070, -0.4135, 1, 1, -6.860e-3, 0.0000e+0, -1.3339e-7, 0.0000e+0, 5.1187e-8, 0.8517
0.080, -0.4181, 1, 1, -6.860e-3, 0.0000e+0, -1.5244e-7, 0.0000e+0, 5.9154e-8, 0.5339
0.090, -0.4206, 1, 1, -6.860e-3, 0.0000e+0, -1.7150e-7, 0.0000e+0, 6.7170e-8, 0.4671
0.100, -0.4233, 1, 1, -6.860e-3, 0.0000e+0, -1.9056e-7, 0.0000e+0, 7.5237e-8, 0.2502
0.110, -0.4244, 1, 1, -6.860e-3, 0.0000e+0, -2.0961e-7, 0.0000e+0, 8.3325e-8, 0.2683
0.120, -0.4262, 1, 1, -6.860e-3, 0.0000e+0, -2.2867e-7, 0.0000e+0, 9.1445e-8, 0.1110
0.130, -0.4265, 1, 1, -6.860e-3, 0.0000e+0, -2.4772e-7, 0.0000e+0, 9.9573e-8, 0.1713
0.140, -0.4277, 1, 1, -6.860e-3, 0.0000e+0, -2.6678e-7, 0.0000e+0, 1.0772e-7, 0.0357
0.150, -0.4276, 1, 1, -6.860e-3, 0.0000e+0, -2.8583e-7, 0.0000e+0, 1.1587e-7, 0.1174
0.160, -0.4285, 1, 1, -6.860e-3, 0.0000e+0, -3.0489e-7, 0.0000e+0, 1.2404e-7, 0.0031
